Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_240_length_3496_cov_1.634313	47.068718
NODE_241_length_3493_cov_0.971182	14.275498
NODE_242_length_3486_cov_5.403394	627.9528
NODE_243_length_3485_cov_2.911852	55.086838
NODE_244_length_3484_cov_0.980637	25.864506
NODE_245_length_3483_cov_1.390048	41.10876
NODE_246_length_3477_cov_0.894925	20.692287
NODE_247_length_3474_cov_2.226471	61.720367
NODE_248_length_3474_cov_1.286525	31.782913
NODE_249_length_3464_cov_2.558885	65.80576
NODE_250_length_3464_cov_2.068625	41.437065
NODE_251_length_3462_cov_0.997301	19.341608
NODE_252_length_3445_cov_1.515371	33.084347
NODE_253_length_3444_cov_1.658426	139.92538
NODE_254_length_3442_cov_1.657617	81.230774
NODE_255_length_3442_cov_1.455505	41.288002
NODE_256_length_3441_cov_1.445383	25.463156
NODE_257_length_3441_cov_0.949004	16.250877
NODE_258_length_3436_cov_1.712300	29.231949
NODE_259_length_3432_cov_1.369138	41.096962
NODE_260_length_3431_cov_1.408898	25.433561
NODE_261_length_3426_cov_1.401637	26.094452
NODE_262_length_3418_cov_1.211486	32.616257
NODE_263_length_3415_cov_2.686740	40.78006
NODE_264_length_3409_cov_1.980804	37.717426
NODE_265_length_3401_cov_1.577581	85.45655
NODE_266_length_3393_cov_1.595530	29.812355
NODE_267_length_3380_cov_1.452813	28.451744
NODE_268_length_3374_cov_1.275947	21.112843
NODE_269_length_3373_cov_3.932532	348.25403
NODE_270_length_3372_cov_16.056394	316.03546
NODE_271_length_3368_cov_2.777538	60.490303
NODE_272_length_3367_cov_1.151543	18.089012
NODE_273_length_3366_cov_6.239889	554.15375
NODE_274_length_3364_cov_2.062403	50.186184
NODE_275_length_3355_cov_2.748451	42.677143
NODE_276_length_3355_cov_1.144362	20.913925
NODE_277_length_3349_cov_2.840472	67.42732
NODE_278_length_3342_cov_3.132815	75.24196
NODE_279_length_3324_cov_1.286206	22.823402
NODE_280_length_3318_cov_2.433093	76.96701
NODE_281_length_3318_cov_1.389220	34.458035
NODE_282_length_3317_cov_13.010345	828.2085
NODE_283_length_3315_cov_0.970201	20.414179
NODE_284_length_3306_cov_2.606795	58.931335
NODE_285_length_3298_cov_1.483759	23.327324
NODE_286_length_3297_cov_4.407571	416.02206
NODE_287_length_3294_cov_2.443322	38.16919
NODE_288_length_3293_cov_4.133923	103.83442
NODE_289_length_3285_cov_1.335972	30.900913
NODE_290_length_3280_cov_13.813194	470.62704
NODE_291_length_3270_cov_1.074133	13.397358
NODE_292_length_3265_cov_1.204908	18.326855
NODE_293_length_3264_cov_1.845712	39.174744
NODE_294_length_3260_cov_1.286307	18.027197
NODE_295_length_3259_cov_1.876117	40.54631
NODE_296_length_3246_cov_1.600834	28.638735
NODE_297_length_3245_cov_12.084349	491.94778
NODE_298_length_3243_cov_1.141849	16.144783
NODE_299_length_3241_cov_1.311175	37.474613
NODE_300_length_3241_cov_0.818882	16.594332
NODE_301_length_3231_cov_0.822487	50.818962
NODE_302_length_3230_cov_1.577506	33.85304
NODE_303_length_3230_cov_1.021270	23.708155
NODE_304_length_3229_cov_0.982270	15.6632595
NODE_305_length_3223_cov_1.737080	27.406477
NODE_306_length_3221_cov_5.404008	532.436
NODE_307_length_3221_cov_1.173239	29.635067
NODE_308_length_3219_cov_2.010996	34.411312
NODE_309_length_3219_cov_1.144890	29.432184
NODE_310_length_3211_cov_1.049935	21.29721
NODE_311_length_3210_cov_0.957833	16.64363
NODE_312_length_3209_cov_1.098313	19.756598
NODE_313_length_3206_cov_1.910361	28.551662
NODE_314_length_3202_cov_4.285203	431.36838
NODE_315_length_3196_cov_1.121538	14.041891
NODE_316_length_3194_cov_2.879361	49.065876
NODE_317_length_3194_cov_1.362243	26.428665
NODE_318_length_3194_cov_1.008477	14.942791
NODE_319_length_3191_cov_1.340405	19.979658
NODE_320_length_3189_cov_0.992815	34.511658
NODE_321_length_3184_cov_0.904154	53.694527
NODE_322_length_3184_cov_0.670592	19.352402
NODE_323_length_3181_cov_2.972495	88.119675
NODE_324_length_3175_cov_1.977362	43.63829
NODE_325_length_3173_cov_1.745240	43.665794
